location_id,Reported WHPT Class Year,Typical ASPT Class,Typical NTAXA Class,NGR,SX,SY,EX,EY,Altitude,d_f_source,logaltbar,log_area,disch_cat,slope,chalk,clay,hardrock,limestone,peat,shape_Length
206993,2017,Good,High,NG 84014 43785,184050,843800,184000,843750,11,4977.385254,2.5245893,1.09595346,3,52.81222916,0,0,0,0,0,70.71067812
207298,2016,High,High,NG 96151 91118,196150,891100,196200,891150,27,31570.17969,2.55315423,2.18590307,6,17.39696884,0,0,0.6164149,0,0,70.71067812
206972,2013,Poor,Poor,NJ 04158 60524,304200,860500,304150,860550,2,19957.66016,2.13779521,1.70708025,2,1.87672639,0,0,0.63655102,0,0.04107572,70.71067812
207170,2017,High,High,NJ 92279 30586,392250,830600,392300,830600,12,14327.13672,1.92923975,1.39954388,1,8.5786438,0,0,1,0,0,50
207146,2014,Good,High,NJ 76151 37584,376100,837550,376150,837600,43,14501.40527,2.1801796,1.69977272,2,12.60598087,0,0,1,0,0.01641962,70.71067812
207162,2017,Good,High,NJ 97537 26901,397500,826900,397550,826900,9,13038.65625,1.8611412,1.42073941,1,6.22629499,0,0,1,0,0,50
460473,2016,High,High,NK 08887 36380,408850,836400,408900,836400,2,16799.93359,1.87320065,1.74503577,2,7.20424128,0,0,0.95008546,0,0.132386,50
3472,2018,High,High,NS 54883 93798,254850,693800,254850,693850,29,7924.436035,2.00800014,1.0949949,2,10.29437256,0,0,0,0,0,50
3418,2017,Good,High,NO 15663 04025,315650,704050,315650,704000,110,7457.280762,2.22634578,1.01473045,1,3.55788302,0,0,0.10367327,0,0,50
1512,2016,High,High,NS 98798 93803,298800,693800,298750,693800,70,13612.92383,2.29584837,1.32792056,2,15.12100315,0,0,0.15450594,0,0.06133239,50
1517,2016,High,High,NS 98505 94306,298450,694350,298500,694300,66,6846.619629,2.05529642,1.15775883,1,0.1,0,0,0.0234701,0,0,70.71067812
1584,2013,High,Moderate,NS 66858 96011,266800,696050,266850,696000,8,55214.375,2.20744491,2.44694853,7,0.1,0,0,0.47153091,0,0.07640291,70.71067812
207287,2018,High,High,NH 76850 90426,276850,890450,276900,890400,27,25552.64063,2.25965667,1.79688644,3,8.42888832,0,0,0.87844199,0,0.24323569,70.71067812
206971,2016,Good,High,NC 07287 13648,207300,913600,207300,913650,7,17443.44141,2.2717464,1.71018088,5,6.98705387,0,0,0.55786192,0,0.10173951,50
206763,2016,High,High,NC 23899 46972,223950,947000,223900,946950,7,23958.89063,2.39745665,2.07179928,6,10.67364883,0,0,1,0,0,70.71067812
206908,?,High,High,NC 45868 01257,245800,901250,245850,901300,2,38090.88672,2.45215893,2.58219123,7,1.14381921,0,0,0.98561287,0.00783801,0.29124931,70.71067812
206811,2016,Good,High,NC 47132 02352,247100,902400,247150,902350,6,38788.56641,2.47835088,2.26746511,7,9.11269855,0,0,0.98384875,0,0.30595544,70.71067812
232746,2018,High,High,NC 07728 16984,207750,916950,207700,917000,20,7110.833008,2.03193688,0.9582054,2,39.05442047,0,0,1,0,0,70.71067812
206987,2018,Good,High,NH 68916 69238,268900,869250,268900,869200,4,9359.363281,1.65153134,1.36347091,1,9.6649828,0,0,0,0,0.03799935,50
337274,2009,Good,High,NS 79372 58360,279350,658400,279400,658350,127,7691.594238,2.31310821,0.98811281,1,17.78941536,0,0,0.00436793,0,0.16932169,70.71067812
122539,2018,Good,High,NS 79072 65926,279100,665950,279050,665900,136,15227.14355,2.32180929,1.54666603,3,9.96780014,0,0,0.388668,0,0.34911957,70.71067812
320337,2014,High,High,NS 78191 63655,278200,663600,278200,663650,107,9529.770508,2.33758831,1.22968185,1,11.15223694,0,0,0.17825575,0,0.13450207,50
121225,2013,Poor,Bad,NS 74714 63781,274750,663750,274700,663800,68,25095.53516,2.27859831,1.85249519,4,8.5786438,0,0,0.24725255,0,0.20476809,70.71067812
122575,2016,Good,High,NS 73855 72533,273900,672550,273850,672500,69,11281.85449,2.14182425,1.54829729,3,3.55788302,0,0,0.01824998,0,0.08262008,70.71067812
122530,2016,Good,High,NS 80049 57446,280100,657450,280050,657450,94,18389.27734,2.31427836,1.81931353,3,9.96780014,0,0,0.00200864,0,0.1735011,50
122534,2018,Good,High,NS 74173 59077,274200,659100,274150,659050,39,29094.06641,2.26980805,1.97400475,4,8.42888832,0,0,0.00185795,0,0.13900095,70.71067812
122542,2018,Moderate,High,NS 68085 62452,268100,662500,268100,662450,16,37418.09766,2.17819953,2.11173296,4,3.55788302,0,0,0.13889748,0,0.13340807,50
122541,2018,Moderate,High,NS 74714 63781,274750,663750,274700,663800,68,25095.53516,2.27859831,1.85249519,4,8.5786438,0,0,0.24725255,0,0.20476809,70.71067812
7957,2018,Moderate,High,NO 50247 35507,350200,735550,350250,735500,60,7738.041992,2.06987047,0.95267135,1,9.11269855,0,0,0.1653192,0,0,70.71067812
7740,2013,High,High,NO 37278 65336,337350,765150,337350,765100,211,34633.77344,2.74417496,2.11697292,5,0.85786438,0,0,0.98426402,0.015736,0.15596592,50
7814,2017,High,High,NO 39489 58624,339450,758650,339500,758600,109,28983.1582,2.63437414,2.03102446,5,6.22629499,0,0,0.97323215,0.0059122,0.00737861,70.71067812
8574,2014,Good,High,NO 38953 47828,294450,648850,294500,648850,208,12611.44824,2.42830181,1.73770928,3,3.43145752,0,0,0.08282265,0,0.22432086,50
207010,2015,Good,High,NJ 22276 39414,322250,839400,322300,839450,189,3461.701172,2.45420861,0.71558553,1,21.4466095,0,0,1,0,0,70.71067812
207021,2014,High,High,NJ 29327 45174,329300,845150,329300,845200,78,31074.58203,2.51965094,2.12069726,4,15.4047823,0,0,0.91932213,0.08067784,0,50
207129,2016,High,High,NJ 03934 26378,303900,826350,303950,826350,189,102417.4922,2.69420791,3.24251723,9,0.1,0,0,0.99892873,0.00068225,0.1470205,50
