loc code,Typical ASPT Class,Typical NTAXA Class,WHPT score,Reported NTAXA,Reported ASPT,Reference NTAXA,Reference ASPT
3250,Good,High,116.4,19,6.13,18.70488405,7.235059897
3402,Moderate,Good,40.2,9,4.47,18.81528496,5.898337021
1426,Moderate,High,97,15,6.47,19.03588525,7.405802799
335,High,High,129.8,19,6.83,19.17768006,7.467514163
1412,Good,High,102.8,16,6.43,19.25245833,7.210848316
8211,Moderate,Poor,27.6,6,4.6,19.91441518,7.09506106
2239,High,High,123.9,17,7.29,19.98287698,7.272799743
1615,Good,High,90.2,12,7.52,22.99631209,6.805913995
1604,Good,High,126.8,21,6.04,23.6160248,6.340347582
338805,Good,High,81,14,5.79,19.70071159,7.010796783
207152,Good,High,98,15,6.53,19.73130804,7.178768052
204343,Good,High,106.2,15,7.08,20.13230357,6.998394331
5565,Moderate,High,,,,#N/A,#N/A
474,Good,High,,,,#N/A,#N/A
207374,Moderate,High,,,,#N/A,#N/A
207241,Moderate,High,,,,#N/A,#N/A
457,Moderate,High,,,,#N/A,#N/A
